complaint_id,timestamp,lat,lon,complaint_type,intensity
C_00000,2026-02-15T22:48:24.187787,40.71205,-74.02537,water_color,5
C_00001,2026-02-14T18:48:24.187787,40.70641,-74.03422,bad_smell,1
C_00002,2026-02-17T11:48:24.187787,40.70784,-74.03677,dust,2
C_00003,2026-02-18T17:48:24.187787,40.68633,-73.999,smoke,4
C_00004,2026-02-15T17:48:24.187787,40.70101,-73.99095,water_color,4
C_00005,2026-02-12T04:48:24.187787,40.70155,-74.02941,noise,4
C_00006,2026-02-18T10:48:24.187787,40.6803,-73.98455,noise,3
C_00007,2026-02-16T10:48:24.187787,40.71702,-74.00366,water_color,1
C_00008,2026-02-16T05:48:24.187787,40.72791,-73.9838,bad_smell,4
C_00009,2026-02-13T08:48:24.187787,40.7262,-73.99312,noise,2
C_00010,2026-02-18T06:48:24.187787,40.71659,-74.02459,dust,5
C_00011,2026-02-18T21:48:24.187787,40.71186,-74.02323,bad_smell,4
C_00012,2026-02-17T10:48:24.187787,40.68434,-73.99649,water_color,1
C_00013,2026-02-15T12:48:24.187787,40.69765,-73.99909,noise,3
C_00014,2026-02-13T13:48:24.187787,40.72739,-74.00385,dust,2
C_00015,2026-02-18T10:48:24.187787,40.71978,-74.00393,water_color,2
C_00016,2026-02-18T20:48:24.187787,40.72555,-74.00084,dust,3
C_00017,2026-02-18T23:48:24.187787,40.73203,-73.99489,dust,2
C_00018,2026-02-05T14:48:24.187787,40.68484,-73.9938,dust,5
C_00019,2026-02-15T11:48:24.188786,40.71979,-74.02638,dust,1
C_00020,2026-02-06T10:48:24.188786,40.71343,-74.02815,noise,1
C_00021,2026-02-10T23:48:24.188786,40.72883,-73.99408,noise,3
C_00022,2026-02-16T07:48:24.188786,40.68929,-73.99931,smoke,2
C_00023,2026-02-09T10:48:24.188786,40.71855,-74.0275,water_color,1
C_00024,2026-02-12T08:48:24.188786,40.71658,-73.99946,bad_smell,1
C_00025,2026-02-16T15:48:24.188786,40.71681,-74.0288,smoke,4
C_00026,2026-02-15T17:48:24.188786,40.68943,-73.99461,noise,2
C_00027,2026-02-18T22:48:24.188786,40.70391,-74.00219,noise,5
